 BeamLabel,Angle,Ant1,Ant2,Ant3,Ant4,Ant5,Ant6,Ant7,Ant8,Ant9,Ant10,Ant11,Ant12,Ant13,Ant14,Ant15,Ant16,Ant17,Ant18,Ant19,Ant20,Ant21,Ant22,Ant23,Ant24,Ant25,Ant26,Ant27,Ant28,Ant29,Ant30,Ant31,Ant32,Ant33,Ant34,Ant35,Ant36
dft10,-30.8,0,-105.07,-210.14,-315.21,-420.28,-525.36,-630.43,-735.5,-840.57,-945.64,-1050.71,-1155.78,-1260.85,-1365.93,-1471,-1576.07,-1681.14,-1786.21,-1891.28,-1996.35,-2101.42,-2206.5,-2311.57,-2416.64,-2521.71,-2626.78,-2731.85,-2836.92,-2941.99,-3047.06,-3152.14,-3257.21,-3362.28,-3467.35,-3572.42,-3677.49
dft11,-29.4,0,-100.73,-201.47,-302.2,-402.93,-503.67,-604.4,-705.13,-805.87,-906.6,-1007.33,-1108.07,-1208.8,-1309.53,-1410.27,-1511,-1611.74,-1712.47,-1813.2,-1913.94,-2014.67,-2115.4,-2216.14,-2316.87,-2417.6,-2518.34,-2619.07,-2719.8,-2820.54,-2921.27,-3022,-3122.74,-3223.47,-3324.2,-3424.94,-3525.67
dft12,-28,0,-96.34,-192.67,-289.01,-385.34,-481.68,-578.01,-674.35,-770.68,-867.02,-963.36,-1059.69,-1156.03,-1252.36,-1348.7,-1445.03,-1541.37,-1637.7,-1734.04,-1830.38,-1926.71,-2023.05,-2119.38,-2215.72,-2312.05,-2408.39,-2504.72,-2601.06,-2697.4,-2793.73,-2890.07,-2986.4,-3082.74,-3179.07,-3275.41,-3371.74
dft13,-26.6,0,-91.88,-183.76,-275.64,-367.52,-459.4,-551.28,-643.16,-735.04,-826.92,-918.8,-1010.68,-1102.56,-1194.44,-1286.32,-1378.2,-1470.08,-1561.96,-1653.84,-1745.72,-1837.6,-1929.48,-2021.36,-2113.24,-2205.12,-2297,-2388.88,-2480.76,-2572.64,-2664.52,-2756.4,-2848.29,-2940.17,-3032.05,-3123.93,-3215.81
dft14,-25.2,0,-87.37,-174.74,-262.11,-349.48,-436.85,-524.22,-611.59,-698.96,-786.33,-873.7,-961.07,-1048.44,-1135.81,-1223.18,-1310.55,-1397.92,-1485.29,-1572.66,-1660.03,-1747.4,-1834.77,-1922.14,-2009.51,-2096.88,-2184.25,-2271.62,-2358.99,-2446.36,-2533.73,-2621.1,-2708.47,-2795.84,-2883.21,-2970.58,-3057.95
dft15,-23.8,0,-82.81,-165.61,-248.42,-331.23,-414.04,-496.84,-579.65,-662.46,-745.27,-828.07,-910.88,-993.69,-1076.5,-1159.3,-1242.11,-1324.92,-1407.73,-1490.53,-1573.34,-1656.15,-1738.96,-1821.76,-1904.57,-1987.38,-2070.19,-2152.99,-2235.8,-2318.61,-2401.42,-2484.22,-2567.03,-2649.84,-2732.65,-2815.45,-2898.26
dft16,-22.4,0,-78.2,-156.39,-234.59,-312.78,-390.98,-469.17,-547.37,-625.57,-703.76,-781.96,-860.15,-938.35,-1016.54,-1094.74,-1172.93,-1251.13,-1329.33,-1407.52,-1485.72,-1563.91,-1642.11,-1720.3,-1798.5,-1876.7,-1954.89,-2033.09,-2111.28,-2189.48,-2267.67,-2345.87,-2424.06,-2502.26,-2580.46,-2658.65,-2736.85
dft17,-21,0,-73.54,-147.07,-220.61,-294.15,-367.69,-441.22,-514.76,-588.3,-661.83,-735.37,-808.91,-882.45,-955.98,-1029.52,-1103.06,-1176.59,-1250.13,-1323.67,-1397.2,-1470.74,-1544.28,-1617.82,-1691.35,-1764.89,-1838.43,-1911.96,-1985.5,-2059.04,-2132.58,-2206.11,-2279.65,-2353.19,-2426.72,-2500.26,-2573.8
dft18,-19.6,0,-68.83,-137.67,-206.5,-275.34,-344.17,-413.01,-481.84,-550.68,-619.51,-688.35,-757.18,-826.02,-894.85,-963.69,-1032.52,-1101.35,-1170.19,-1239.02,-1307.86,-1376.69,-1445.53,-1514.36,-1583.2,-1652.03,-1720.87,-1789.7,-1858.54,-1927.37,-1996.21,-2065.04,-2133.87,-2202.71,-2271.54,-2340.38,-2409.21
dft19,-18.2,0,-64.09,-128.18,-192.27,-256.36,-320.46,-384.55,-448.64,-512.73,-576.82,-640.91,-705,-769.09,-833.18,-897.28,-961.37,-1025.46,-1089.55,-1153.64,-1217.73,-1281.82,-1345.91,-1410,-1474.1,-1538.19,-1602.28,-1666.37,-1730.46,-1794.55,-1858.64,-1922.73,-1986.82,-2050.92,-2115.01,-2179.1,-2243.19
dft20,-16.8,0,-59.31,-118.62,-177.93,-237.24,-296.55,-355.86,-415.17,-474.47,-533.78,-593.09,-652.4,-711.71,-771.02,-830.33,-889.64,-948.95,-1008.26,-1067.57,-1126.88,-1186.19,-1245.5,-1304.81,-1364.11,-1423.42,-1482.73,-1542.04,-1601.35,-1660.66,-1719.97,-1779.28,-1838.59,-1897.9,-1957.21,-2016.52,-2075.83
dft21,-15.4,0,-54.49,-108.98,-163.48,-217.97,-272.46,-326.95,-381.44,-435.94,-490.43,-544.92,-599.41,-653.91,-708.4,-762.89,-817.38,-871.87,-926.37,-980.86,-1035.35,-1089.84,-1144.33,-1198.83,-1253.32,-1307.81,-1362.3,-1416.79,-1471.29,-1525.78,-1580.27,-1634.76,-1689.26,-1743.75,-1798.24,-1852.73,-1907.22
dft22,-14,0,-49.64,-99.28,-148.93,-198.57,-248.21,-297.85,-347.5,-397.14,-446.78,-496.42,-546.07,-595.71,-645.35,-694.99,-744.64,-794.28,-843.92,-893.56,-943.21,-992.85,-1042.49,-1092.13,-1141.77,-1191.42,-1241.06,-1290.7,-1340.34,-1389.99,-1439.63,-1489.27,-1538.91,-1588.56,-1638.2,-1687.84,-1737.48
dft23,-12.6,0,-44.76,-89.53,-134.29,-179.05,-223.81,-268.58,-313.34,-358.1,-402.87,-447.63,-492.39,-537.16,-581.92,-626.68,-671.44,-716.21,-760.97,-805.73,-850.5,-895.26,-940.02,-984.79,-1029.55,-1074.31,-1119.07,-1163.84,-1208.6,-1253.36,-1298.13,-1342.89,-1387.65,-1432.42,-1477.18,-1521.94,-1566.7
dft24,-11.2,0,-39.86,-79.71,-119.57,-159.43,-199.28,-239.14,-279,-318.86,-358.71,-398.57,-438.43,-478.28,-518.14,-558,-597.85,-637.71,-677.57,-717.42,-757.28,-797.14,-836.99,-876.85,-916.71,-956.57,-996.42,-1036.28,-1076.14,-1115.99,-1155.85,-1195.71,-1235.56,-1275.42,-1315.28,-1355.13,-1394.99
dft25,-9.8,0,-34.93,-69.85,-104.78,-139.71,-174.63,-209.56,-244.49,-279.42,-314.34,-349.27,-384.2,-419.12,-454.05,-488.98,-523.9,-558.83,-593.76,-628.69,-663.61,-698.54,-733.47,-768.39,-803.32,-838.25,-873.17,-908.1,-943.03,-977.96,-1012.88,-1047.81,-1082.74,-1117.66,-1152.59,-1187.52,-1222.44
dft26,-8.4,0,-29.98,-59.95,-89.93,-119.9,-149.88,-179.86,-209.83,-239.81,-269.79,-299.76,-329.74,-359.71,-389.69,-419.67,-449.64,-479.62,-509.6,-539.57,-569.55,-599.52,-629.5,-659.48,-689.45,-719.43,-749.41,-779.38,-809.36,-839.33,-869.31,-899.29,-929.26,-959.24,-989.22,-1019.19,-1049.17
dft27,-7,0,-25.01,-50.02,-75.02,-100.03,-125.04,-150.05,-175.05,-200.06,-225.07,-250.08,-275.08,-300.09,-325.1,-350.11,-375.11,-400.12,-425.13,-450.14,-475.14,-500.15,-525.16,-550.17,-575.17,-600.18,-625.19,-650.2,-675.2,-700.21,-725.22,-750.23,-775.24,-800.24,-825.25,-850.26,-875.27
dft28,-5.6,0,-20.02,-40.05,-60.07,-80.1,-100.12,-120.14,-140.17,-160.19,-180.22,-200.24,-220.26,-240.29,-260.31,-280.34,-300.36,-320.38,-340.41,-360.43,-380.46,-400.48,-420.5,-440.53,-460.55,-480.58,-500.6,-520.62,-540.65,-560.67,-580.7,-600.72,-620.74,-640.77,-660.79,-680.82,-700.84
dft29,-4.2,0,-15.03,-30.06,-45.09,-60.11,-75.14,-90.17,-105.2,-120.23,-135.26,-150.28,-165.31,-180.34,-195.37,-210.4,-225.43,-240.46,-255.48,-270.51,-285.54,-300.57,-315.6,-330.63,-345.65,-360.68,-375.71,-390.74,-405.77,-420.8,-435.83,-450.85,-465.88,-480.91,-495.94,-510.97,-526
dft30,-2.8,0,-10.02,-20.05,-30.07,-40.1,-50.12,-60.14,-70.17,-80.19,-90.22,-100.24,-110.26,-120.29,-130.31,-140.34,-150.36,-160.38,-170.41,-180.43,-190.46,-200.48,-210.5,-220.53,-230.55,-240.58,-250.6,-260.62,-270.65,-280.67,-290.7,-300.72,-310.74,-320.77,-330.79,-340.82,-350.84
dft31,-1.4,0,-5.01,-10.03,-15.04,-20.05,-25.07,-30.08,-35.09,-40.11,-45.12,-50.13,-55.15,-60.16,-65.18,-70.19,-75.2,-80.22,-85.23,-90.24,-95.26,-100.27,-105.28,-110.3,-115.31,-120.32,-125.34,-130.35,-135.36,-140.38,-145.39,-150.4,-155.42,-160.43,-165.44,-170.46,-175.47
dft32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dft33,1.4,0,5.01,10.03,15.04,20.05,25.07,30.08,35.09,40.11,45.12,50.13,55.15,60.16,65.18,70.19,75.2,80.22,85.23,90.24,95.26,100.27,105.28,110.3,115.31,120.32,125.34,130.35,135.36,140.38,145.39,150.4,155.42,160.43,165.44,170.46,175.47
dft34,2.8,0,10.02,20.05,30.07,40.1,50.12,60.14,70.17,80.19,90.22,100.24,110.26,120.29,130.31,140.34,150.36,160.38,170.41,180.43,190.46,200.48,210.5,220.53,230.55,240.58,250.6,260.62,270.65,280.67,290.7,300.72,310.74,320.77,330.79,340.82,350.84
dft35,4.2,0,15.03,30.06,45.09,60.11,75.14,90.17,105.2,120.23,135.26,150.28,165.31,180.34,195.37,210.4,225.43,240.46,255.48,270.51,285.54,300.57,315.6,330.63,345.65,360.68,375.71,390.74,405.77,420.8,435.83,450.85,465.88,480.91,495.94,510.97,526
dft36,5.6,0,20.02,40.05,60.07,80.1,100.12,120.14,140.17,160.19,180.22,200.24,220.26,240.29,260.31,280.34,300.36,320.38,340.41,360.43,380.46,400.48,420.5,440.53,460.55,480.58,500.6,520.62,540.65,560.67,580.7,600.72,620.74,640.77,660.79,680.82,700.84
dft37,7,0,25.01,50.02,75.02,100.03,125.04,150.05,175.05,200.06,225.07,250.08,275.08,300.09,325.1,350.11,375.11,400.12,425.13,450.14,475.14,500.15,525.16,550.17,575.17,600.18,625.19,650.2,675.2,700.21,725.22,750.23,775.24,800.24,825.25,850.26,875.27
dft38,8.4,0,29.98,59.95,89.93,119.9,149.88,179.86,209.83,239.81,269.79,299.76,329.74,359.71,389.69,419.67,449.64,479.62,509.6,539.57,569.55,599.52,629.5,659.48,689.45,719.43,749.41,779.38,809.36,839.33,869.31,899.29,929.26,959.24,989.22,1019.19,1049.17
dft39,9.8,0,34.93,69.85,104.78,139.71,174.63,209.56,244.49,279.42,314.34,349.27,384.2,419.12,454.05,488.98,523.9,558.83,593.76,628.69,663.61,698.54,733.47,768.39,803.32,838.25,873.17,908.1,943.03,977.96,1012.88,1047.81,1082.74,1117.66,1152.59,1187.52,1222.44
dft40,11.2,0,39.86,79.71,119.57,159.43,199.28,239.14,279,318.86,358.71,398.57,438.43,478.28,518.14,558,597.85,637.71,677.57,717.42,757.28,797.14,836.99,876.85,916.71,956.57,996.42,1036.28,1076.14,1115.99,1155.85,1195.71,1235.56,1275.42,1315.28,1355.13,1394.99
dft41,12.6,0,44.76,89.53,134.29,179.05,223.81,268.58,313.34,358.1,402.87,447.63,492.39,537.16,581.92,626.68,671.44,716.21,760.97,805.73,850.5,895.26,940.02,984.79,1029.55,1074.31,1119.07,1163.84,1208.6,1253.36,1298.13,1342.89,1387.65,1432.42,1477.18,1521.94,1566.7
dft42,14,0,49.64,99.28,148.93,198.57,248.21,297.85,347.5,397.14,446.78,496.42,546.07,595.71,645.35,694.99,744.64,794.28,843.92,893.56,943.21,992.85,1042.49,1092.13,1141.77,1191.42,1241.06,1290.7,1340.34,1389.99,1439.63,1489.27,1538.91,1588.56,1638.2,1687.84,1737.48
dft43,15.4,0,54.49,108.98,163.48,217.97,272.46,326.95,381.44,435.94,490.43,544.92,599.41,653.91,708.4,762.89,817.38,871.87,926.37,980.86,1035.35,1089.84,1144.33,1198.83,1253.32,1307.81,1362.3,1416.79,1471.29,1525.78,1580.27,1634.76,1689.26,1743.75,1798.24,1852.73,1907.22
